update,area1,area2,day,spot,ruby,atr,
,関西,大阪府,,大阪メトロ御堂筋線 昭和町駅,おおさかめとろみどうすじせん しょうわちょうえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 昭和町駅～西田辺駅間,おおさかめとろみどうすじせん しょうわちょうえき～にしたなべえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 心斎橋駅～なんば駅間,おおさかめとろみどうすじせん しんさいばしえき～なんばえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 新金岡駅,おおさかめとろみどうすじせん しんかなおかえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 新金岡駅～なかもず駅間,おおさかめとろみどうすじせん しんかなおかえき～なかもずえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 西中島南方駅～中津駅間,おおさかめとろみどうすじせん にしなかじまみなみがたえき～なかつえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 西田辺駅,おおさかめとろみどうすじせん にしたなべえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 西田辺駅～長居駅間,おおさかめとろみどうすじせん にしたなべえき～ながいえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 大国町駅～動物園前駅間,おおさかめとろみどうすじせん だいこくちょうえき～どうぶつえんまええきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 中津駅～梅田駅間,おおさかめとろみどうすじせん なかつえき～うめだえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 長居駅,おおさかめとろみどうすじせん ながいえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 長居駅～あびこ駅間,おおさかめとろみどうすじせん ながいえき～あびこえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 天王寺駅～昭和町駅間,おおさかめとろみどうすじせん てんのうじえき～しょうわちょうえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 動物園前駅,おおさかめとろみどうすじせん どうぶつえんまええき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 動物園前駅～天王寺駅間,おおさかめとろみどうすじせん どうぶつえんまええき～てんのうじえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 梅田駅～淀屋橋駅間,おおさかめとろみどうすじせん うめだえき～よどやばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 北花田駅,おおさかめとろみどうすじせん きたはなだえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 北花田駅～新金岡駅間,おおさかめとろみどうすじせん きたはなだえき～しんかなおかえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 本町駅,おおさかめとろみどうすじせん ほんまちえき,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 本町駅～心斎橋駅間,おおさかめとろみどうすじせん ほんまちえき～しんさいばしえきかん,鉄道,
,関西,大阪府,,大阪メトロ御堂筋線 淀屋橋駅～本町駅間,おおさかめとろみどうすじせん よどやばしえき～ほんまちえきかん,鉄道,
